,intitule,description,salaire,libelle,latitude,longitude,codePostal,commune
0,Directeur / Directrice des services informatiques -DSI-     (H/F),"Directement rattaché(e) à la direction du groupe, vous possédez une double compétence de manager et d'évangélisateur technique. Il vous incombe l'adéquation entre le système d'informations et la stratégie de l'entreprise, la définition et la gestion des budgets ainsi que la coordination des équipes techniques. Vous êtes également garant de la gestion des sous-traitants et partenaires avec une approche multiculturelle.

Dans ce contexte, vos principales responsabilités sont les suivantes :
- Comprendre et participer (pour les dimensions SI) aux objectifs et aux priorités de l'entreprise avec les membres du comité de direction puis les retranscrire et les animer au sein de votre équipe.
- Concevoir une organisation optimale des flux d'informations de l'entreprise en cartographiant régulièrement 
- Analyser le marché, évaluer les offres de sous-traitance et être force de proposition vis-à-vis de la direction. Négocier, maîtriser et suivre les contrats de sous-traitance et leur mise en œuvre.
- Evaluer et préconiser les investissements informatiques correspondant aux besoins métiers exprimés en tenant compte de leur efficacité et de la maîtrise des risques.
- Assurer le reporting vis-à-vis de la Direction.
- Piloter les projets techniques transverses de l'entreprise (digitalisation, CRM etc.)

Profil recherché :
- Au-delà de votre formation initiale, de bac+5 en informatique (école ou universitaire) ou autodidacte équivalent
- Vous disposez d'une culture technique suffisante, mais surtout vous savez apprendre à apprendre
- Vous souhaitez prendre le pouvoir d'un SI et participer réellement à son modelage et son évolution.

Vous avez dans votre culture de travail :
- la méthodologie agile comme fonctionnement du suivi et des évolutions quotidiennes et hebdomadaire
- la documentation (cartographie des systèmes vis à vis de la direction et pour la simplification de la communication dans vos équipes)
- le partage de connaissance : Reconnu(e) comme étant très pédagogue, vous êtes capable de vulgariser un langage complexe et très technique pour faire comprendre vos attentes.
- le pragmatisme ... 

Entreprise :
Au moyen d'un parcours d'intégration comprenant différents points d'étapes permettant de sécuriser votre démarrage, vous participez à l'activité d'une PME de 70 personnes animée par le staff opérationnel (manager, commercial, chargé de recrutements) et les consultants intervenants pour des projets clients.","'libelle': 'Annuel de 45000,00 Euros à 60000,00 Euros sur 12 mois', 'complement1': 'Chèque repas', 'complement2': 'Mutuelle'",19 - ARNAC POMPADOUR,45.406554,1.371028,19230,19011
1,Technicien informatique N1/2 (H/F),"Lynx RH Services Grenoble, cabinet de recrutement en intérim, CDD et CDI membre de Mister Temp' Group, recherche un Technicien informatique (H/F) en CDI pour l'un de ses clients,
une entreprise de la région grenobloise d'une trentaine de collaborateurs, où cohésion d'équipe, accompagnement des entrants et bonne ambiance sont de mise.


Vos missions:
Vous assurerez la gestion et le traitement des demandes utilisateurs et plus précisément :
- L'accueil des demandes des utilisateurs à la suite de dysfonctionnements : prise en compte des appels des clients.
- Ainsi que l'enregistrement et le traitement des demandes : enregistrement des incidents ou anomalies de fonctionnements signalés.
- Le suivi des incidents : suivi du traitement des appels des clients. Exploitation de la base d'incidents : relances, consolidation, analyse des tendances. Demandes d'actions préventives de fond.
- La préparation et l'installation de matériel et/ou logiciel des systèmes et réseaux informatiques client.
- La réalisation des évolutions et des mises à jour.
- L'identification des données à caractère personnel et le respect des règles et procédures de confidentialité.
- La sauvegarde de données. Votre profil:
COMPÉTENCES TECHNIQUES :
- Connaissance des environnements virtualisés VMware
- Compétence Microsoft serveur 2019
- Connaissance de la téléphonie IP
- Connaître les différents types de dysfonctionnements informatiques
- Savoir réaliser une intervention de maintenance informatique de premier niveau
- Savoir mettre en oeuvre et contrôler les travaux d'exploitation
- Connaître les protocoles de communication, les logiciels et matériels réseaux
- Savoir gérer un parc informatique connecté à un réseau
- Savoir administrer une messagerie en sécurité
- Savoir détecter les virus informatiques et sécuriser les données


- Savoir rédiger des supports utilisateurs
- Comprendre l'anglais technique
- Savoir vulgariser le vocabulaire technique informatique pour le rendre compréhensible par les utilisateurs
- Patience, écoute, diplomatie, curiosité","'libelle': 'Annuel de 25000,00 Euros à 30000,00 Euros sur 12 mois'",38 - GRENOBLE,45.181364,5.724855,38000,38185
2,Technicien/ne support informatique (H/F),"ous interviendrez donc sur les périmètres techniques suivants :

Support en environnement Microsoft (Office 365, Outlook/Exchange, Outils collaboratifs Skype ou Teams )
Résolution des demandes et incidents niveau 1 et 2
Support de proximité.
Prise en main à distance, téléphonie.
Suivi de l'avancement de la remontée des incidents.
Coordonner les différents services impliqués.
Assurer les installations sur site (test matériel/logiciel, master )","'libelle': 'Annuel de 25000,00 Euros à 27000,00 Euros sur 12 mois', 'complement1': 'Chèque repas'",67 - STRASBOURG,48.579831,7.761454,67000,67482
3,Développeur / Développeuse informatique,"Sous la direction du Directeur Technique en charge de la feuille de route technique et du référent technique en charge de l'animation du service.
Egalement en lien avec les différents services de la société : commercial, support, marketing et administratif.
La mission du développeur back-end ne se limite pas à développer les fonctionnalités de la solution.
Le développeur back-end contribue également à la réalisation des cahiers des charges des fonctionnalités développées sur la solution dans la mesure où il a une parfaite connaissance des besoins et demandes clients. Il participe aussi à l'analyse technique des modules par la conception de l'architecture, l'implémentation et la validation de la solution. Ses missions s'intègrent en partie dans le poste de responsable produit qui n'est pas pourvu actuellement. Ce rôle est partagé entre le Directeur technique et le Responsable commercial.
De plus, il est intégré dans l'équipe en charge de l'évolution de la solution actuelle vers une V2 en micro service (Next.js, Nest.js).","'libelle': 'Annuel de 25000,00 Euros sur 12 mois', 'complement1': 'Restauration'",34 - CLAPIERS,43.657118,3.887403,34830,34077
4,Technicien support proximité informatique (H/F),"La Direction Services Econocom recherche un Technicien support informatique H/F en Ile de France.

Dans le cadre de cette mission, vous assurerez la résolution d'incidents (ruptures du service habituellement rendu) ou difficultés déclarées par les utilisateurs identifiés . Vous réaliserez également des interventions planifiées telles que l'installation, l'évolution de matériel ou de logiciel et le support technique aux utilisateurs.

Missions et responsabilités :

Accueil des sollicitations des utilisateurs : 
- Prise en compte des sollicitations des utilisateurs 
- Enregistrement des sollicitations et respect des procédures,
- Identification et analyse des besoins décrits par les utilisateurs,
- Conseil auprès des utilisateurs,
 
Traitement des actions de support correspondantes : 
- Résolution des incidents de son domaine de compétences : diagnostic, identification, information, résolution, formulation,
- Sollicitation des groupes de compétences adéquates si nécessaire, et suivi de la résolution,
- Conseil et formation auprès des utilisateurs,
 
Suivi des incidents : 
- Suivi des sollicitations quel que soit le domaine technique concerné,
- Exploitation de la base d'incidents et de Knowledge Management : relance, consolidation, analyse de tendance, création et mise à jour des fiches de Knowledge Management,
- Emission des demandes d'actions préventives et de fond,
- Gestion des éléments de reporting auprès du responsable direct.


Modalités : 
- Démarrage : Dès que possible
- Lieu de mission : Plusieurs postes à pourvoir en Ile de France (92 et 78)
- Contrat : CDI
Avantages : RTT, tickets restaurants, comité entreprise, mutuelle, prime de participation, 


De formation Bac +2, vous justifiez d'une première expérience sur un poste similaire. Nous recherchons une personne rigoureuse dans le travail, avec un bon sens relationnel et doté d'un excellent sens de l'écoute.","'libelle': 'Mensuel de 22000,00 Euros à 25000,00 Euros sur 12 mois', 'complement1': 'Chèque repas', 'complement2': 'Participation/action'",92 - LE PLESSIS ROBINSON,48.78138,2.260472,92350,92060
5,Technicien maintenance informatique (F/H),"Vous intervenez sur différents sites clients pour l'installation et la réparation de matériels informatiques et/ou monétiques. 

Grâce à la planification déterminée par votre hiérarchie (installation, dépannage), vous analysez et préparez les interventions confiées.

Vous intervenez quotidiennement sur les sites clients du périmètre de votre secteur (département 37, et occasionnellement départements limitrophes) et réalisez les interventions, avec diagnostic de la panne, et opérations de dépannage et installation. 

Vous réalisez les actions administratives, informatiques et logistiques nécessaires (suivi administratif, propreté des lieux après votre intervention), et faites également preuve de pédagogie avec votre client.

Vous intervenez du lundi au vendredi, avec véhicule de service. Vous êtes rémunéré entre 24000 et 25000€ bruts annuels fixes","'libelle': 'Annuel de 24000,00 Euros sur 12 mois'",37 - TOURS,47.395476,0.69472,37000,37261
6,PROFESSEUR /RE EN CYBERSECURITE INFORMATIQUE RESEAU RENTREE 2023 (H/F),"L'académie de Versailles recrute des professeurs contractuels pour enseigner la CYBERSECURITE INFORMATIQUE-RESEAU dans l'académie de Versailles, départements 78, 91, 92, 95. 

RECRUTEMENT POUR LA RENTRÉE 2023-2024 
INSCRIVEZ-VOUS SUR LE SALON EN LIGNE DU 6 AU 21 AVRIL 2023 ET RENCONTREZ NOS RECRUTEURS !
Des contrats à durée déterminée seront proposés du 01/09/2023 au 31/08/2024.

Vos missions
  Instruire et éduquer afin de conduire l'ensemble des élèves à la réussite scolaire.
  Former les futurs citoyens en transmettant et faisant partager les valeurs de la République.
  Préparer les séquences pédagogiques et évaluer les productions des élèves.
  Assurer un lien régulier avec les parents d'élèves.

Votre profil
  Diplôme d'ingénieur ou Master 1 dans l'électronique, l'informatique industrielle, dans les Télécommunications-Réseaux, EEA, Systèmes embarqués ou BTS : Systèmes numériques ou Électronique ou Systèmes informatiques aux organisations ou DUT Réseaux et Télécommunications ou Génie électrique et informatique industrielle.
  Vous maitrisez la réalisation et la maintenance de produits électroniques et la mise en oeuvre des réseaux informatiques.
  Vous maitrisez la valorisation de la donnée et de la cybersécurité.
  Vous maitrisez des compétences opérationnelles liées aux métiers du numérique :
- Langage C, HTML, CSS, Java, Python, IOT.
- Raccordements, façonnage, qualification de support de transmission cuivre, fibre et énergie.
- Connaissances en électronique, réalisation de PCB, brasage composant traversant et CMS, appareils de mesure dans le cadre de test.
- Règles de sécurité et normes sur le tri des déchets électroniques.
- Réseaux et transmissions : protocoles, infrastructures et services.
- Installation et paramétrage des systèmes numériques.
  Vous savez utiliser Word, Excel, logiciels métiers (réseau, conception électronique et cybersécurité).
  Vous avez un casier judiciaire vierge.

Votre temps de travail (temps complet)
  18h de cours par semaine sur 36 semaines par année scolaire.
  Organisation libre du temps de préparation de la classe.
  Participation à la vie de l'établissement.

Votre accompagnement
  Formation et préparation à la prise de fonction.
  Aide à la conception des séquences et des supports pédagogiques.","'libelle': 'Mensuel de 1919,30 Euros à 2903,36 Euros sur 12 mois', 'complement1': 'Primes'",Ile-de-France,,,,
7,Formateur / Formatrice informatique BO-033-23 / P07945 (H/F),"Dans le cadre de l'expérimentation nationale visant à dynamiser l'accompagnement de bénéficiaire du RSA, le Département de Seine-Maritime s'est doté d'un nouvel applicatif nommé « parcours RSA ». En tant que formateur, vous assurez la formation des agents sur ce nouvel outil sur 4 sites distincts du département : Rouen, Dieppe, le Havre, Fauville-en-Caux.
Vos missions :
- Vous réalisez les supports et la structuration de la formation sur l'outil «parcours RSA»
- Vous assurez la formation des agents du pôle des solidarités
- Vous mettez en oeuvre les modes opératoires de saisie et guides utilisateurs de l'application (vidéo + papier)
- Vous répondez aux interpellations des utilisateurs lors des 6 premières semaines de la mise en production
- Vous participez au travail de structuration de la commande statistique
Profil recherché :
- Vous possédez une licence dans le domaine de la GRH (formation, compétences et emploi), de l'informatique ou de la formation de formateur informatique ou une expérience dans ce domaine
- Les conditions d'exercice nécessitent le permis B - des déplacements réguliers sont à prévoir
- Vous avez déjà animé des groupes et transmis des connaissances grâce à un support
- Vous possédez des connaissances informatiques dans le domaine de la gestion/structuration des applications WEB
- Vous savez définir et formuler des objectifs pédagogiques
- Vous savez élaborer une réponse pédagogique en fonction des modalités de formation (progression, moyens, outils)","'libelle': 'Mensuel de 1921,00 Euros sur 12 mois'",76 - ROUEN,49.440044,1.093912,76000,76540
8,technicien support maintenance informatique (h/f),"Rattaché(e) au Responsable du secteur maintenance informatique, au sein d'une équipe de 8 collaborateurs, vous aurez en charge
les missions suivantes : préparation et installation des matériels informatiques en se référant à la documentation technique et matériel;
l'installation et la maintenance des logiciels en se référant à la documentation technique du logiciel; la maintenance et le déménagement des matériels informatiques, l'intervention sur les demandes de téléphonie, la prise en charge des demandes de dépannage simples sur site, l'assistance aux utilisateurs via l'outil de ticketing. 
RECRUTEMENT DES QUE POSSIBLE. CDD DE 5, 5 mois","'libelle': 'Mensuel de 1781,65 Euros sur 14 mois', 'complement1': 'Primes'",95 - CERGY,49.042161,2.046317,95000,95127
9,Technicien développement informatique (H/F),"Nous recherchons pour l'un de nos clients basé sur Saint Ouen l'Aumône (95) un(e) Technicien(ne) de développement informatique. Poste à pourvoir en CDI !!

Vos principales missions :
-	Gérer des projets de développement informatique.
-	Développer des applications pour les besoins de l'usine « from scratch ».
-	Concevoir et mettre en oeuvre une base de données.
-	Business Intelligent : conception de sources de données et maintien des sources actuelles.
-	Administrer les outils existants.
-	Assister et dépanner sur les outils développés. 

Vous êtes titulaire d'un BAC +3 et avez une expérience d'au moins 2 ans sur un poste similaire.
Vous êtes rigoureux(se), autonome et motivé(e)   Alors ce poste est fait pour vous ! 
Rémunération : selon profil + prime mensuelle

 Vous êtes titulaire d'un BAC +3 et avez une expérience d'au moins 2 ans sur un poste similaire.
Vous êtes rigoureux(se), autonome et motivé(e)   Alors ce poste est fait pour vous ! 
Rémunération : selon profil + prime mensuelle","'libelle': 'Annuel de 22000,00 Euros à 30000,00 Euros sur 12 mois'",95 - ST OUEN L AUMONE,49.047982,2.124065,95310,95572
