Surface,Ville,Code postale,Prix par mois
16 m²,Aix-en-Provence,13080,495
68 m²,Altkirch,68130,448
83 m²,Le François,97240,790
70 m²,Bordeaux,33000,500
26 m²,Vétraz-Monthoux,74100,1
28 m²,Toulouse,31100,470
19 m²,Villeneuve-d'Ascq,59650,490
80 m²,Evry-Courcouronnes,91000,350
70 m²,Sare,64310,630
39 m²,Lille,59000,720
39 m²,Bussy-Saint-Georges,77600,851
64 m²,Troyes,10000,890
55 m²,La Flèche,72200,550
62 m²,Chartres,28000,600
13 m²,Paris,75116,270
46 m²,Maubeuge,59600,490
40 m²,Boulogne-Billancourt,92100,1308
105 m²,Sainte-Rose,97115,700
120 m²,Mauny,76530,850
35 m²,Sault-Brénaz,01150,485
45 m²,Argenteuil,95100,975
96 m²,Fontenay-Trésigny,77610,1200
77 m²,Liffré,35340,730
78 m²,Sarras,07370,900
12 m²,Malakoff,92240,65
40 m²,Mazères,09270,420
13 m²,Paris,75007,150
80 m²,Beauvais,60000,850
30 m²,Saint-Mandé,94160,1250
63 m²,Schoelcher,97233,800
50 m²,Strasbourg,67000,1070
28 m²,Dijon,21000,460
90 m²,Bayonne,64100,1200
