,intitule,description,salaire,libelle,latitude,longitude,codePostal,commune
0,Ingénieur en informatique industriel F/H (H/F),"Notre client est spécialisé dans le secteur de l'aéronautique. En qualité d'ingénieur en électronique numérique (H/F), vous aurez en charge le développement des cartes électroniques de nos produits : 

- Définir et concevoir l'architecture matérielle et fonctionnelle d'un équipement électronique
- Piloter le développement, la mise au point, le déploiement et la documentation technique
- Coordonner les études liées au développement de nouveaux produits
- Créer des prototypes, tester et contrôler les différents composants (en lien avec les achats)
- Collaborer avec les ingénieurs d'études des autres spécialités pour établir l'étude complète d'un produit ou d'un procédé
- Etablir et suivre des dossiers d'homologation, certification, brevetabilité...
 - De formation Bac+5, spécialité électronique, vous possédez au moins 5 ans d'expérience dans un poste similaire, acquise, idéalement, dans un environnement industriel normé.
Connaissances techniques
- Electronique numérique, processeur, SoC et FPGA
- Outils : CAO électronique, simulation LTspice, simulation FPGA, émulateur Lauterbach",40000,94 - RUNGIS,48.750107,2.354514,94150,94065
1,Ingénieur en informatique industriel F/H (H/F),"Notre client est spécialisé dans le secteur de l'aéronautique. En qualité d'Ingénieur Logiciels Embarqués (H/F), vous assurerez les missions suivantes : 
-	Programmation en Langage C avec les règles de codage en vigueur pour développer des logiciels embarqués (applicatif et bas niveaux)
-	Débogage sur cible avec émulateurs ou autres outils et bancs
-	Conception et architecture logicielle
-	Rédaction et suivi des documents du cycle de vie logiciel (Spécification SRS, Conception SDD, Tests logiciel, tests bas niveau TU)
-	Traçabilité des exigences
-	Relecture des documents conformément au processus de développement logiciel
-	Relecture de code
-	Gestion de configuration
 De formation Ingénieur (scientifique, informatique industrielle ou télécom), ou Bac + 5 (informatique industrielle ou télécom), vous possédez une expérience réussie d'au moins 5 ans dans le développement de logiciel embarqué, idéalement dans le secteur aéronautique ou une industrie similaire.
Vous avez un bon niveau d'anglais (dialogue technique à la fois à l'écrit et l'oral).
Vous aimez le travail d'équipe, savez anticipez, vous êtes méthodique et rigoureux et avez des capacités d'adaptation et d'anticipation",45000,94 - RUNGIS,48.750107,2.354514,94150,94065
2,COORDINATEUR INFORMATIQUE LOGISTIQUE(H/F) (H/F),"Vous aurez la responsabilité d'assurer l'utilisation optimale des logiciels métiers TMS et SAP. Vos missions sont les suivantes : 
- Assurer la formation des nouveaux arrivants aux logiciels en collaboration avec le service informatique
- Analyser  les pratiques des différents utilisateurs et proposer des améliorations
- Centraliser les demandes des utilisateurs et des clients et les traitres
- Communiquer et présenter les nouvelles fonctionnalités aux utilisateurs
- Participer au paramétrage des dossiers dans les logiciels
- Assurer le bon fonctionnement quotidien des flux EDI et résoudre les rejets d'interface
- Mesurer l'efficacité des actions engagées et faire une synthèse à votre manager. Capacité d'analyse
Pédagogie et accompagnement
Autonome
Travail en équipe",1710,13 - PORT ST LOUIS DU RHONE,43.399899,4.802233,13230,13078
3,Technicien Informatique - Support utilisateur (H/F),"Le métier de technicien support utilisateurs exige des connaissances techniques très avancées, puisqu'il consiste à trouver des solutions aux dysfonctionnements du matériel informatique de l'entreprise.

Panne d'ordinateur ou d'une imprimante, problème d'utilisation d'un smartphone ou encore difficultés de connexion au réseau internet, sa mission est de trouver l'origine du problème pour le résoudre et éviter sa réapparition, en modifiant des paramètres ou, dans le pire des cas, en remplaçant le matériel défectueux. Il exécute quatre principales missions qui sont :

    le recueil des besoins des utilisateurs ;
    l'analyse des dysfonctionnements et la mise en place d'actions correspondantes ;
    l'intégration de systèmes de contrôle préventif ;
    le suivi et la veille des incidents. Vous êtes passionné par l'informatique, vous possédez à la fois un bons sens de l'écoute et un esprit d'analyse, vous êtes en capacité d'apporter immédiatement plusieurs pistes qui pourraient correspondre au problème rencontré par l'utilisateur. Vous êtes doué de qualités pédagogiques et savez parfaitement expliquer étape par étape la marche à suivre.",22000,92 - MALAKOFF,48.81742,2.294086,92240,92046
4,Technicien informatique F/H (H/F),"Notre client, groupe de service informatique de renom, recherche un Technicien Support hot Line F/H pour un poste en CDI à pourvoir rapidement.Basé.e à Montbonnot Saint Martin (38), vous ferez partie de l'équipe technique dédiée au support. 
Vous interviendrez sur les infrastructures (serveurs, stockage, pare-feu) comme sur les postes de travail.

Vos objectifs et missions : 
- Assurer le support aux utilisateurs et infrastructures des clients
- Diagnostiquer les incidents, les prioriser
- Résoudre les incidents de niveau 1 à 4
- Faire appel aux experts pour la résolution d'incidents complexes
- Assurer le reporting de votre activité Profil recherché :
- Maitrise parfaite de l'environnement Windows 10. et O365
- Très bonne maîtrise des environnements virtualisés : serveurs, stockage, sauvegarde
- Très bonne connaissances des systèmes de sécurité : pare-feu, antivirus etc. 
- Très bonnes qualités pédagogiques
- Capacité d'apprentissage rapide.
- Anglais technique écrit correct.

Votre personnalité fera la différence : 
- Doté d'un grand sens du service, vous avez à coeur d'avoir un impact positif sur vos interlocuteurs internes et/ou externes. A ce titre, vous savez communiquer clairement. 
- Vous possédez un très bon esprit d'équipe. 
- Vous êtes méthodique. 
- Vous êtes autonome et capable de travailler sereinement dans un environnement qui peut être parfois stressant. 
- Vous savez vous investir pour progresser et monter en compétences, via des formations certifiantes auxquelles vous participeriez. 

Poste en CDI à pourvoir de suite !
Salaire entre 27 et 32 kEUR selon expérience + TR",30000,38 - MONTBONNOT ST MARTIN,45.225419,5.80876,38330,38249
5,Technicien déploiement en informatique H/F (H/F),"Lynx RH Services Grenoble, cabinet de recrutement en intérim, CDD et CDI membre de Mister Temp' Group, recherche un Technicien déploiement informatique (H/F) pour une mission d'intérim qui débutera le 15 avril 2023, jusqu'au 28 avril 2023. Plusieurs postes sont à pourvoir.


Vos missions:
Nous recherchons pour une mission de Bascule de postes de travail sur 3 sites.

Le projet va démarrer le samedi 15/04/2023.

- Manutention pour acheminer les pcs (qui seront déjà masterisé) qu'il faudra déployer.
- Déployer le script pour faire la récupération des données.(Backup)
- Reconfiguration (les IP) des imprimantes Xerox, à mettre dans le réseau.
- Installation et déploiement de quelques stations de travail.

Il y aura une hotline continuelle de la part du client.
Les techniciens seront accompagnés tout le long du projet sur site et hotline..
Une procédure sera fournie. Votre profil:
Technicien niveau 1/2 avec des bonnes connaissances informatiques.",2000,38 - GRENOBLE,45.181364,5.724855,38000,38185
6,Technicien(ne) Support Systèmes et Réseaux informatique H/F (H/F),"Lynx RH Services Lille recherche pour son client, acteur du Retail, un(e) Technicien(ne) Systèmes et Réseaux à Villeneuve-d'Ascq (59) afin de renforcer son équipe support au sein de sa DSI.


Vos missions:
Vos missions principales seront de :
- Assurer le support de proximité et helpdesk N2 sur les environnements bureautiques, infras systèmes réseaux ;
- Assurer la configuration et le paramétrage des équipements : gestion des entrées et sorties, sécurisation du SI, firewall, stock matériels, déploiements, migrations... 
- Participer aux réunions et à l'amélioration continue de la gestion d'incidents ;
- Participer à la rédaction et à la mise à jour des documentations techniques. Doté(e) d'un bon relationnel, vous appréciez travailler au sein d'une équipe.

Vous avez de bonnes compétences en systèmes réseaux et de bonnes connaissances sur AD, l'environnement Windows, téléphonie, outils bureautiques entre autres. 

Contrat CDI 
Pour plus d'informations : c.lagache[a]lynx-rh.com",30000,59 - VILLENEUVE D ASCQ,50.637916,3.147134,59491,59009
7,Ingénieur Automatisme et Informatique Industrielle (H/F),"Et intégrer le leader mondial d'équipements électriques en CDI, ça vous branche     
Innovation, engagement sont des valeurs qui vous animent   Venez les partagez avec notre client qui les applique depuis plus de 150 ans.

Spécialisé dans la conception de machines électriques tournantes, d'électronique de puissance et d'automatisation industrielle, notre client basé dans le bassin stéphanois, vous propose de participer en tant qu' Ingénieur Automatisme et Informatique Industrielle (h/f) à tous les projets d'automatisme et d'équipements électriques industriels depuis l'étude, leurs conceptions, leurs fabrications dans ses ateliers de production, leurs développements jusqu'à la formation et sa mise en service dans le monde entier et ce sur plusieurs marchés, comme le stockage d'énergie stationnaire et ce sur plusieurs marchés tel que le stockage d'énergie stationnaire, industriel et écologique.

Alors l'aventure vous intéresse   ...rejoignez la...
 Vous êtes de formation BAC + 5 en tant qu'Ingénieur en Automatisme et Informatique Industrielle, vous serez emmené à analyser le projet du client, à trouver les solutions adaptées, à rédiger les analyses fonctionnelles ainsi que les notices techniques d'installations auprès des services et des clients.
 La programmation (ISAGRAF, Siemens TiaPortal, Wonderware), vos connaissances des réseaux de communication (TCP, Can, Modbus TCP), de l'amélioration des performances industrielles par le biais d'algorithmie et du contrôle commande font de vous un technicien autonome et épanouie. Vos très bonnes connaissances dans le secteur de l'électrotechnique et de l'automatisme vous permettent d'être un réfèrent privilégié auprès de votre hiérarchie et des clients.

Votre envie d'apprendre et de progresser dans le domaine technique sont des qualités attendues par notre client.

Votre sens de la communication en anglais (oral et écrit) est une seconde nature pour vous.

Le désir de satisfaire le client et de vous challenger sur des projets technologiques à fort enjeux font de vous un élément moteur de l'équipe de développeur que vous pouvez être amené à manager. 

 Alors, vous vous reconnaissez.... Tentez l'aventure",35000,42 - ROCHE LA MOLIERE,45.427691,4.321581,42230,42189
8,Responsable de Secteur & Formateur Informatique (H/F),"Vous aimez donner du sens à votre activité, vous êtes curieux, dynamique, et souhaitez contribuer à la réinsertion professionnelle de personnes très éloignées de l'emploi ? 

Nous vous recherchons pour le poste de RESPONSABLE DE SECTEUR & FORMATEUR INFORMATIQUE et nous aurons le plaisir de vous accueillir dans notre équipe aux valeurs humanistes. 

En lien avec la Direction, le.la Responsable de Secteur organise les activités de son équipe de Formateurs qui œuvrent au sein du Centre Pénitentiaire de Marseille, et propose les moyens d'améliorer le dispositif de formation. 

Vos missions de Responsable de Secteur seront les suivantes (estimées à 2,5 jours hebdomadaire) :

* Management d'une équipe de 8 Formateurs sur le site de Marseille   
- Coordonner et gérer le personnel qui lui est hiérarchiquement rattaché
- Favoriser l'évolution des compétences de ses équipes et réaliser les recrutements
- Veiller à la bonne coordination avec les partenaires et les acteurs du dispositif dont il / elle a la responsabilité
 
* Gestion du centre de profit
- Gérer le budget du service et s'assurer de la bonne gestion des dépenses
- S'assurer de la bonne réalisation des objectifs fixés par le contrat
 
* Suivi du marché et conduite des missions
- Organiser et planifier les moyens à mettre en œuvre
- S'assurer de la mise en œuvre des certifications (convocation jury, organisation des examens )
- Evaluer les actions de formation
- Organiser l'événementiel du site en concertation avec l'équipe, l'administration pénitentiaire et les différents partenaires et acteurs
 
* Développer et entretenir le réseau territorial de la société
- Est le représentant de la société auprès des financeurs et de la direction locale de l'administration pénitentiaire le cas échéant
- Consolider le réseau local pour enrichir le dispositif 

En tant que Formateur.trice Informatique (estimé à 2,5 jours par semaine), vous animerez des sessions de formation auprès de 8 à 12 stagiaires, et vos missions seront les suivantes  : 
* Gestion et suivi de la formation
- Réaliser les animations des sessions de formation en lien avec le déroulé pédagogique de la formation et du référentiel
- Evaluer et suivre les compétences individuelles des stagiaires au travers des exercices et des travaux
- Réaliser le suivi des compétences acquises à l'aide du portefeuille de compétences
- Contribuer à l'insertion socioprofessionnelle des personnes détenues par leur intégration dans des parcours de formation individualisés
- Respecter le code de procédure pénale applicable aux intervenants extérieurs

* Contrôle et optimisation de l'activité
- Concevoir et adapter les outils pédagogiques en lien avec le déroulé pédagogique
- Participer à toutes les réunions de coordination pédagogique
- Veiller à la signature des feuilles d'émargements et leurs transmissions au coordinateur
- Réaliser les bilans et contribuer au bon reporting tout au long de la formation
- Réaliser une veille technique liée à la filière enseignée
- Participer au développement du partenariat 

Statut Cadre au Forfait (avec RTT) 
Salaire de 3000€ brut x 12 mois 
Prime de Performance de 0 à 10% suivant l'atteinte des objectifs
Mutuelle de Groupe Obligatoire et familiale 
Ticket Restaurant à 10€ 
Ordinateur - Téléphone portable
Casier Judiciaire Vierge",3000,13 - MARSEILLE 09,43.249253,5.423479,13009,13209
9,Technicien / Technicienne support de proximité en informatique,"La division IT de PROMAN EXPERTISE recrute un(e) TECHNICIEN DE PROXIMITE H/F en CDI à Aix en Provence (13).

Notre client fournit, depuis plus de 30 ans et partout dans le monde, des solutions techniques pour l'industrie notamment dans les secteurs de l'énergie, du transport et de l'agroalimentaire.

Intégrer la DSI du groupe c'est :

-	Une très belle opportunité d'emploi 
-	Un cadre de travail agréable 
-	Un environnement stimulant et évolutif 
-	Une dimension internationale 

Rattaché(e) au département Infrastructure (40 personnes environ), votre rôle consiste à prendre le relai des incidents non résolus par le helpdesk et à assurer le support de proximité mais également les installations ou la mise à jour sur site de nouveaux matériels (PCs, serveurs, réseaux, impression, etc ) ou de nouvelles agences. 
Dans ce cadre, vous êtes amené à vous déplacer en binôme ou en autonomie en France, mais également à l'étranger. Au quotidien, vos missions sont les suivantes :

-	Assurer le maintien en conditions opérationnelles du parc informatique (postes de travail, serveurs, logiciels)
-	Intervenir en tant que support de niv.2
-	Participer à la supervision des systèmes
-	Faire remonter les anomalies récurrentes auprès des équipes 
-	Participer à la rédaction et la mise à jour des procédures

Environnement technique : OS Windows, Windows server 2012/2016, AD, SCCM, LAN/VLAN


De formation Bac+2/3 en informatique, vous justifiez d'une expérience de 3 ans minimum sur un poste équivalent, idéalement acquise dans un environnement industriel et/ou international
Vous maîtrisez parfaitement l'environnement Windows.
Anglais courant requis.

Dans le cadre de ce poste, des déplacements ponctuels à l'étranger sont à prévoir.

Organisé(e) et rigoureux(se), vous savez faire preuve d'ouverture d'esprit et de bonnes capacités d'analyse. Vous êtes reconnu(e) pour votre esprit d'équipe et vos qualités relationnelles. 
Au quotidien, vous êtes investi(e) et impliqué(e) dans votre travail afin d'assurer la meilleure qualité de service.
 
Vous souhaitez évoluer au sein d'une DSI de grande envergure, avec un management bienveillant et un environnement technique riche ? Envoyez-nous rapidement votre candidature, nous vous recontacterons !",25000,13 - AIX EN PROVENCE,43.541369,5.406124,13090,13001
